epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,677.178,0.69558,0.45659,0.98519,0.91473,0.80552,0.87771,0.64658,0.80551,0.5004,0.99024,0.00111689,0.00111689,0.00111689
102,683.79,0.70101,0.45585,0.98063,0.929,0.80667,0.87424,0.64591,0.80025,0.5184,0.99429,0.00111139,0.00111139,0.00111139
103,690.216,0.6747,0.44338,0.97554,0.92048,0.81409,0.87329,0.6451,0.79338,0.50651,0.98892,0.00110589,0.00110589,0.00110589
104,696.615,0.67598,0.44681,0.97973,0.90346,0.81931,0.87888,0.65176,0.78751,0.49134,1.00348,0.00110039,0.00110039,0.00110039
105,703.103,0.67824,0.44282,0.97756,0.93277,0.81966,0.88442,0.65291,0.79169,0.49662,0.98732,0.00109489,0.00109489,0.00109489
106,709.582,0.67628,0.4396,0.97582,0.93318,0.79781,0.87956,0.64868,0.78547,0.4879,0.99107,0.00108938,0.00108938,0.00108938
107,716.141,0.67416,0.44368,0.97567,0.91845,0.81576,0.87351,0.64838,0.79577,0.4998,1.01045,0.00108388,0.00108388,0.00108388
108,722.611,0.66442,0.43301,0.97256,0.92049,0.81768,0.87581,0.6518,0.79693,0.49981,0.99536,0.00107838,0.00107838,0.00107838
109,729.116,0.66632,0.44457,0.96907,0.93178,0.80031,0.87561,0.64555,0.80113,0.49689,0.99607,0.00107288,0.00107288,0.00107288
110,735.622,0.66711,0.44196,0.96952,0.9075,0.81161,0.88149,0.65577,0.79431,0.50679,1.0053,0.00106738,0.00106738,0.00106738
111,742.082,0.66751,0.4381,0.9646,0.95005,0.78057,0.8739,0.64862,0.79856,0.50664,1.01143,0.00106188,0.00106188,0.00106188
112,748.769,0.67155,0.44347,0.97023,0.92875,0.79983,0.88084,0.65022,0.79615,0.51005,0.99342,0.00105638,0.00105638,0.00105638
113,755.432,0.66438,0.43787,0.97377,0.93091,0.80487,0.8818,0.6466,0.79177,0.49595,1.00029,0.00105088,0.00105088,0.00105088
114,761.975,0.66295,0.43466,0.97304,0.93478,0.80803,0.88273,0.65413,0.79804,0.50969,0.99657,0.00104538,0.00104538,0.00104538
115,768.707,0.66481,0.43552,0.96831,0.93029,0.82033,0.88802,0.65392,0.79857,0.48858,1.0109,0.00103987,0.00103987,0.00103987
