epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,1779.65,0.91622,0.59007,1.23529,0.90925,0.85416,0.91684,0.62021,1.10303,0.61109,1.28805,0.00129733,0.00129733,0.00129733
114,1795.36,0.93562,0.59047,1.23082,0.90552,0.84719,0.9143,0.60622,1.13739,0.61177,1.28272,0.00129403,0.00129403,0.00129403
115,1810.91,0.93069,0.58811,1.22984,0.90089,0.86147,0.92118,0.61218,1.14568,0.60878,1.30088,0.00129072,0.00129072,0.00129072
116,1826.4,0.947,0.60395,1.24109,0.92029,0.84974,0.91544,0.61975,1.07559,0.60631,1.25111,0.00128742,0.00128742,0.00128742
117,1842,0.91286,0.58629,1.21311,0.9194,0.85275,0.91784,0.6206,1.09656,0.61042,1.26908,0.00128412,0.00128412,0.00128412
118,1857.52,0.91158,0.57421,1.20612,0.91101,0.8624,0.91486,0.62712,1.06291,0.60329,1.23026,0.00128082,0.00128082,0.00128082
119,1872.9,0.92779,0.58807,1.23386,0.93517,0.84717,0.91651,0.62238,1.07764,0.59762,1.24578,0.00127752,0.00127752,0.00127752
120,1888.18,0.93256,0.59936,1.22801,0.90821,0.86444,0.90959,0.58975,1.16614,0.62486,1.30623,0.00127422,0.00127422,0.00127422
121,1903.46,0.90939,0.57693,1.21646,0.92664,0.84983,0.91394,0.6021,1.14822,0.61279,1.34434,0.00127092,0.00127092,0.00127092
122,1918.77,0.89669,0.56947,1.20097,0.92937,0.84708,0.9125,0.62578,1.08994,0.60588,1.26474,0.00126762,0.00126762,0.00126762
123,1934.08,0.90383,0.56877,1.21447,0.9207,0.85186,0.9116,0.61808,1.09069,0.59975,1.24709,0.00126432,0.00126432,0.00126432
124,1949.31,0.90506,0.57093,1.20811,0.90606,0.86502,0.92085,0.63129,1.07331,0.58701,1.25293,0.00126102,0.00126102,0.00126102
125,1964.61,0.91686,0.57748,1.21797,0.92739,0.84077,0.9196,0.61889,1.1126,0.60637,1.27113,0.00125772,0.00125772,0.00125772
126,1979.8,0.92413,0.58364,1.22697,0.92049,0.84212,0.90425,0.60983,1.09845,0.60694,1.25217,0.00125442,0.00125442,0.00125442
127,1995.03,0.92632,0.58028,1.21343,0.91683,0.87309,0.92538,0.59344,1.1875,0.61518,1.37432,0.00125112,0.00125112,0.00125112
