epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,173.971,0.58912,0.39657,0.88497,0.90012,0.69789,0.78925,0.5359,1.02033,0.63146,1.06523,0.000803327,0.000803327,0.000803327
159,175.026,0.60395,0.4106,0.88913,0.88882,0.69202,0.78201,0.52998,1.01295,0.63486,1.06916,0.000797826,0.000797826,0.000797826
160,176.056,0.58715,0.39629,0.89854,0.85878,0.70861,0.77274,0.51884,1.04083,0.65501,1.06824,0.000792325,0.000792325,0.000792325
161,177.093,0.60212,0.39947,0.90014,0.87489,0.71101,0.77758,0.51893,1.01467,0.66704,1.04008,0.000786824,0.000786824,0.000786824
162,178.153,0.60231,0.40815,0.88805,0.89977,0.67875,0.76771,0.51998,1.00765,0.64344,1.03675,0.000781323,0.000781323,0.000781323
163,179.234,0.61569,0.41197,0.89513,0.8889,0.70247,0.77433,0.5165,1.03591,0.6442,1.05152,0.000775822,0.000775822,0.000775822
164,180.255,0.59009,0.39485,0.88184,0.90149,0.72048,0.78702,0.51625,1.02178,0.63741,1.04605,0.000770321,0.000770321,0.000770321
165,181.379,0.58299,0.39431,0.89286,0.91021,0.73356,0.79514,0.52158,1.02586,0.61446,1.05428,0.00076482,0.00076482,0.00076482
166,182.435,0.57635,0.39136,0.88879,0.9154,0.72986,0.8007,0.51971,1.01524,0.60492,1.05285,0.000759318,0.000759318,0.000759318
167,183.473,0.56648,0.39488,0.89189,0.90234,0.72578,0.80281,0.5318,0.99545,0.61996,1.03492,0.000753817,0.000753817,0.000753817
168,184.5,0.59439,0.39222,0.87635,0.9327,0.69334,0.80019,0.52906,1.00366,0.62799,1.0296,0.000748316,0.000748316,0.000748316
169,185.525,0.5914,0.39883,0.90084,0.93732,0.68537,0.79697,0.52957,1.0199,0.60206,1.04362,0.000742815,0.000742815,0.000742815
170,186.556,0.59705,0.39839,0.88301,0.86001,0.72479,0.78915,0.52611,0.99707,0.59454,1.05104,0.000737314,0.000737314,0.000737314
171,187.612,0.59164,0.39715,0.88242,0.90846,0.69925,0.78408,0.52347,1.00293,0.61408,1.05107,0.000731813,0.000731813,0.000731813
172,188.63,0.5947,0.40617,0.89666,0.90796,0.68358,0.77747,0.51272,1.03271,0.67139,1.04962,0.000726312,0.000726312,0.000726312
173,189.772,0.58817,0.40356,0.8859,0.93043,0.67673,0.78253,0.52727,1.01644,0.68036,1.0477,0.000720811,0.000720811,0.000720811
174,190.828,0.57633,0.3859,0.87762,0.93452,0.67293,0.78632,0.53583,0.99714,0.64718,1.04366,0.00071531,0.00071531,0.00071531
175,191.91,0.56464,0.38567,0.89165,0.88208,0.70773,0.78511,0.53682,1.01293,0.6464,1.04975,0.000709809,0.000709809,0.000709809
176,193.011,0.5598,0.37972,0.87796,0.89334,0.72139,0.7935,0.52847,1.00404,0.65537,1.04684,0.000704307,0.000704307,0.000704307
177,194.078,0.56096,0.37711,0.87333,0.87661,0.71937,0.78848,0.53273,1.01003,0.65832,1.04959,0.000698806,0.000698806,0.000698806
178,195.142,0.57581,0.38492,0.88014,0.8861,0.70891,0.79632,0.53438,1.0086,0.64993,1.04962,0.000693305,0.000693305,0.000693305
179,196.152,0.56772,0.38088,0.8846,0.9131,0.68661,0.80068,0.53997,0.99849,0.64004,1.04363,0.000687804,0.000687804,0.000687804
180,197.178,0.57954,0.38778,0.88217,0.93657,0.66998,0.80548,0.53106,1.00445,0.64326,1.05411,0.000682303,0.000682303,0.000682303
